id,symbol,made_at,target_at,now_price,sigma_h,quantile,call_value,kalshi_strike,kalshi_no_at_strike,kalshi_no_at_call,model_no_at_strike,edge_pp,actual_price,won,settled_at,made_at_iso,target_at_iso,settled_at_iso
60,BTCUSDT,1778486410.9774153,1778490000.0,80734.17,0.002205519540777659,0.7,80805.79921830428,80799.99,0.5,0.5,0.6855533148952114,18.555331489521144,80767.97,1,1778490011.5928087,2026-05-11T04:00:10,2026-05-11T05:00:00,2026-05-11T05:00:11
59,BTCUSDT,1778482806.2733378,1778486400.0,80822.86,0.002413502561748085,0.7,80901.33332563155,80899.99,0.72,0.7175148475816371,0.6969862501943074,-2.3013749805692596,80740.4,1,1778486405.5313468,2026-05-11T03:00:06,2026-05-11T04:00:00,2026-05-11T04:00:05
58,BTCUSDT,1778479212.325801,1778482800.0,80832.33,0.0021428552944917994,0.7,80902.00779307222,80899.99,0.71,0.7132284689155407,0.6948901801860263,-1.5109819813973635,80822.86,1,1778482800.3115575,2026-05-11T02:00:12,2026-05-11T03:00:00,2026-05-11T03:00:00
57,BTCUSDT,1778475602.1084082,1778479200.0,80810.32,0.0027982324209007417,0.7,80901.29546589892,80899.99,0.77,0.7714360124888044,0.6974751679771557,-7.2524832022844326,80832.34,1,1778479206.8201098,2026-05-11T01:00:02,2026-05-11T02:00:00,2026-05-11T02:00:06
56,BTCUSDT,1778472000.557569,1778475600.0,80736.0,0.003393517774265422,0.7,80846.24096908538,80799.99,1.0,1.0,0.6210800369042468,-37.89199630957532,80824.61,1,1778475615.733096,2026-05-11T00:00:00,2026-05-11T01:00:00,2026-05-11T01:00:15
55,BTCUSDT,1778468411.1368709,1778472000.0,81176.66,0.0033858206269388887,0.7,81287.2510847223,81299.99,0.875,0.8380571456946607,0.719767118781524,-15.5232881218476,80736.0,1,1778472009.5421286,2026-05-10T23:00:11,2026-05-11T00:00:00,2026-05-11T00:00:09
54,BTCUSDT,1778464801.086848,1778468400.0,81517.81,0.004580164401626778,0.7,81668.07674338185,81699.99,0.8300000000000001,0.7805344522418665,0.7357267308677543,-9.427326913224576,81169.09,1,1778468405.529065,2026-05-10T22:00:01,2026-05-10T23:00:00,2026-05-10T23:00:05
53,BTCUSDT,1778461214.8396876,1778464800.0,81464.7,0.005707349122281178,0.7,81651.86802536993,81699.99,0.575,0.613497579704062,0.7428392955622507,16.783929556225075,81501.73,1,1778464816.3388557,2026-05-10T21:00:14,2026-05-10T22:00:00,2026-05-10T22:00:16
52,BTCUSDT,1778457601.886929,1778461200.0,82212.5,0.004858660693220356,0.7,82373.27112614101,82399.99,0.5800000000000001,0.5759921689211515,0.7282204956178016,14.822049561780148,81471.13,1,1778461209.3302875,2026-05-10T20:00:01,2026-05-10T21:00:00,2026-05-10T21:00:09
51,BTCUSDT,1778454013.744813,1778457600.0,82277.0,0.008103797173360927,0.7,82545.53698431459,82499.99,1.0,1.0,0.6693462657921257,-33.065373420787424,82210.07,1,1778457616.5274591,2026-05-10T19:00:13,2026-05-10T20:00:00,2026-05-10T20:00:16
50,BTCUSDT,1778450412.2256753,1778454000.0,80693.99,0.004492578602829953,0.7,80839.89108729742,80799.99,0.8,0.7900247281756456,0.6496870971324057,-15.031290286759436,82044.49,0,1778454008.0754745,2026-05-10T18:00:12,2026-05-10T19:00:00,2026-05-10T19:00:08
49,BTCUSDT,1778446813.2618537,1778450400.0,80727.06,0.005621595151441292,0.7,80909.74335058217,80899.99,0.45999999999999996,0.4717040206985955,0.6905434255572295,23.05434255572295,80720.47,1,1778450406.6181777,2026-05-10T17:00:13,2026-05-10T18:00:00,2026-05-10T18:00:06
48,BTCUSDT,1778443213.242309,1778446800.0,81436.36,0.0018393841531338102,0.7,81496.61328617245,81499.99,0.6950000000000001,0.6881115037917818,0.7097320183698097,1.473201836980964,80734.88,1,1778446807.8126078,2026-05-10T16:00:13,2026-05-10T17:00:00,2026-05-10T17:00:07
47,BTCUSDT,1778439601.0482213,1778443200.0,81271.96,0.0019691196144661564,0.7,81336.33453497413,81299.99,1.0,1.0,0.5917034233909716,-40.82965766090284,81437.83,0,1778443207.8284626,2026-05-10T15:00:01,2026-05-10T16:00:00,2026-05-10T16:00:07
